Name,Math,Phys,Chemistry,History,Literature,Politics
Ally,76,91,70,,50,32
Angelica,69,82,78,,35,45
Anna,72,83,76,,43,39
Benjamin,81,,72,,47,31
Billy,80,83,69,,43,38
Bobbie,80,83,42,,39,35
Cameron,72,78,47,,46,36
Chris,,80,48,,50,32
Christine,73,84,,,46,46
Claire,68,85,36,,42,40
Dannie,71,86,35,,78,57
Darby,73,,63,,90,50
David,75,92,36,,85,51
Donna,69,85,45,,89,43
Elizabeth,77,90,38,,,47
Eric,80,82,34,,83,50
Frank,,92,40,,92,50
George,73,90,44,,79,51
Georgia,79,92,48,,81,55
Hans,71,90,57,,91,54
Harold,,,44,,76,49
Harvey,80,89,37,,100,56
Isac,80,,47,,83,46
Jean,77,78,42,,91,56
Jenny,,,,,,
Joanna,84,86,39,,89,52
John,,80,27,,87,46
Julie,77,82,35,,86,51
Katrina,73,89,38,,86,46
Keith,83,86,,,86,38
Leon,74,88,35,,88,
Louis,70,,45,,89,48
Mike,77,94,33,,99,49
Monica,79,,38,,89,48
Nathalie,70,76,38,,92,56
Nathan,83,92,35,,93,51
Rachel,81,89,35,,92,48
Sala,76,85,33,,,60
Sally,,85,46,,90,54
Sean,73,80,,,89,47
Sheila,79,79,,,90,58
Tom,87,90,48,,89,53
Travis,72,85,42,,100,48
Trevor,,,,,,
Vickey,80,88,36,,86,59
